hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N143171,LINCOLN WAY WEST,F17197,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,1,0,0,0,2,0,1,0,1,0,0,0,2,0,2,0,6,0
N143197,CALVARY BAPTIST ACADEMY,F17113,NA,IL,14010,"Bloomington, IL",145,"Bloomington-Pontiac, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N143200,NORMAL COMMUNITY HIGH SCHOOL,F17113,22,IL,14010,"Bloomington, IL",145,"Bloomington-Pontiac, IL",1,0,1,0,3,0,5,0,5,0,0,0,1,0,2,0,3,0,1,0
N143201,NORMAL COMMUNITY WEST HIGH SCHOOL,F17113,22,IL,14010,"Bloomington, IL",145,"Bloomington-Pontiac, IL",4,0,1,0,3,0,1,0,0,0,3,0,2,0,5,0,3,0,1,0
N143205,UNIVERSITY HIGH SCHOOL,F17113,22,IL,14010,"Bloomington, IL",145,"Bloomington-Pontiac, IL",3,0,1,0,3,0,1,0,4,0,1,0,1,0,2,0,1,0,3,0
N143215,GLENBROOK NORTH HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,3,0,1,0,1,0,1,0,1,0,1,0,5,0,0,0,2,0
N143223,WEST LEYDEN HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
N143224,OAK FOREST HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N143228,HAROLD L RICHARDS HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0
N143230,OAK LAWN COMMUNITY HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143235,REAVIS HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N143237,ST LAURENCE H.S.,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N143240,FENWICK HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
N143245,OAK PARK AND RIVER FOREST HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,2,0,1,0,1,0,0,0,4,0,2,0,0,0,1,0,5,0
N143270,O FALLON TOWNSHIP HIGH SCHOOL,F17163,21,IL,41180,"St. Louis, MO-IL",476,"St. Louis-St. Charles-Farmington, MO-IL",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N143280,OHIO COMMUNITY HIGH SCHOOL,F17011,43,IL,36837,"Ottawa, IL",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N143290,EAST RICHLAND HIGH SCHOOL,F17159,33,IL,N,Non_CBSA,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N143293,RICH CENTRAL HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143315,OREGON HIGH SCHOOL,F17141,42,IL,40300,"Rochelle, IL",466,"Rockford-Freeport-Rochelle, IL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143320,ORION HIGH SCHOOL,F17073,42,IL,19340,"Davenport-Moline-Rock Island, IA-IL",209,"Davenport-Moline, IA-IL",2,0,2,0,5,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
N143325,CARL SANDBURG HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,5,0,2,0
N143330,OSWEGO HIGH SCHOOL,F17093,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",6,0,4,0,7,0,3,0,2,0,7,0,2,0,9,0,7,0,5,0
N143331,OSWEGO EAST HIGH SCHOOL,F17093,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,3,0,1,0,4,0,3,0,5,0,10,0,4,0,8,0,9,0
